Employee_ID,Working_Hours,Training_Hours,Experience_Years,Performance_Score
E001,36,8,1,67
E002,49,5,4,73
E003,44,10,2,84
E004,40,4,8,75
E005,37,6,4,67
E006,50,4,2,72
E007,36,8,14,83
E008,48,6,6,83
E009,40,10,6,85
E010,40,8,10,89
E011,50,3,4,80
E012,33,5,6,74
E013,37,10,13,89
E014,32,13,15,91
E015,50,15,2,86
E016,31,3,10,76
E017,41,11,12,92
E018,35,10,2,73
E019,31,11,10,88
E020,50,6,14,90
E021,30,3,4,67
E022,41,5,14,88
E023,41,13,15,95
E024,46,13,15,100
E025,39,8,8,86
E026,45,13,14,100
E027,44,14,7,99
E028,44,9,12,93
E029,48,4,9,97
E030,41,15,14,97
